0.000135, 0.000000, 0.000000, 0.020223
0.000135, 0.000000, 0.000000, 0.020223
0.000417, 0.000000, 0.000000, 0.036248
0.000856, 0.000000, 0.000000, 0.051512
0.001444, 0.000000, 0.000000, 0.066050
0.002174, 0.000000, 0.000000, 0.079896
0.002174, 0.000000, 0.000000, 0.079896
0.003039, 0.000000, 0.000000, 0.093084
0.003039, 0.000000, 0.000000, 0.093084
0.004032, 0.000000, 0.000000, 0.105645
0.005149, 0.000000, 0.000000, 0.117609
0.006382, 0.000000, 0.000000, 0.129003
0.006382, 0.000000, 0.000000, 0.129003
0.007726, 0.000000, 0.000000, 0.139856
0.007726, 0.000000, 0.000000, 0.139856
0.009176, 0.000000, 0.000000, 0.150193
0.009176, 0.000000, 0.000000, 0.150193
0.010727, 0.000000, 0.000000, 0.160039
0.012375, 0.000000, 0.000000, 0.169416
0.012375, 0.000000, 0.000000, 0.169416
0.012375, 0.000000, 0.000000, 0.169416
0.014113, 0.000000, 0.000000, 0.178347
0.015939, 0.000000, 0.000000, 0.186854
0.017848, 0.000000, 0.000000, 0.194956
0.017848, 0.000000, 0.000000, 0.194956
0.019837, 0.000000, 0.000000, 0.202673
0.021900, 0.000000, 0.000000, 0.210023
0.021900, 0.000000, 0.000000, 0.210023
0.024035, 0.000000, 0.000000, 0.217023
0.026239, 0.000000, 0.000000, 0.223691
0.026239, 0.000000, 0.000000, 0.223691
0.028508, 0.000000, 0.000000, 0.230042
0.028508, 0.000000, 0.000000, 0.230042
0.030838, 0.000000, 0.000000, 0.236090
0.030838, 0.000000, 0.000000, 0.236090
0.033228, 0.000000, 0.000000, 0.241851
0.035674, 0.000000, 0.000000, 0.247338
0.035674, 0.000000, 0.000000, 0.247338
0.038173, 0.000000, 0.000000, 0.252564
0.040724, 0.000000, 0.000000, 0.257542
0.043323, 0.000000, 0.000000, 0.262283
0.043323, 0.000000, 0.000000, 0.262283
0.043323, 0.000000, 0.000000, 0.262283
0.045968, 0.000000, 0.000000, 0.266798
0.048658, 0.000000, 0.000000, 0.271099
0.048658, 0.000000, 0.000000, 0.271099
0.051389, 0.000000, 0.000000, 0.275196
0.051389, 0.000000, 0.000000, 0.275196
0.054161, 0.000000, 0.000000, 0.279097
0.056970, 0.000000, 0.000000, 0.282813
0.059816, 0.000000, 0.000000, 0.286352
0.059816, 0.000000, 0.000000, 0.286352
0.062697, 0.000000, 0.000000, 0.289723
0.065610, 0.000000, 0.000000, 0.292934
0.065610, 0.000000, 0.000000, 0.292934
0.068555, 0.000000, 0.000000, 0.295992
0.071529, 0.000000, 0.000000, 0.298905
0.074532, 0.000000, 0.000000, 0.301679
0.077562, 0.000000, 0.000000, 0.304321
0.080618, 0.000000, 0.000000, 0.306838
0.080618, 0.000000, 0.000000, 0.306838
0.083698, 0.000000, 0.000000, 0.309235
0.086802, 0.000000, 0.000000, 0.311518
0.089928, 0.000000, 0.000000, 0.313692
0.089928, 0.000000, 0.000000, 0.313692
0.093075, 0.000000, 0.000000, 0.315763
0.093075, 0.000000, 0.000000, 0.315763
0.096243, 0.000000, 0.000000, 0.317736
0.099429, 0.000000, 0.000000, 0.319614
0.102635, 0.000000, 0.000000, 0.321404
0.102635, 0.000000, 0.000000, 0.321404
0.105857, 0.000000, 0.000000, 0.323108
0.109096, 0.000000, 0.000000, 0.324731
